address,agency,allowable_building_to_floor_area,assess_land,bin,bldg_depth,bldg_front,block,boro,bsmt_code,census_block,census_tract,commercial_floor_area,community_district,condominium_number,contact,coordinates,council_district,current_uses,date_created,e_designation_number,edc___occupied,exempt_land,exempt_tot,factory_floor_area,fire_comp,garage_floor_area,govt_clean_up_program,health_area,health_ctr,his_dist,industrial_business_zone,irr_lot_code,land_use_category,landmark,latitude,longitude,lot,lot_depth,lot_front,lot_type_code,major_use,map_atlas,nta,num_floors,number_of_easements,number_structures,office_floor_area,open_petroleum_spill,other_floor_area,overlay_1,overlay_2,parcel_name,pluto_version,police_prct,potential_urban_ag,proximity_code,ratio_building_to_floor_area,residential_and_non_residential_units,residential_floor_area,residential_units,retail_floor_area,school_dist,sp_dist_1,sp_dist_2,storage_floor_area,structure_completed,total_area,total_gross_area_structures,year_alter_1,year_alter_2,zip_code,zone_dist_1,zone_dist_2
405 EAST 59 STREET,DOT,0,19633950,1045270,40,25,1454,1,5,2005,106.02,64360,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0995162/0215966,5,"PARK, ROAD/HIGHWAY, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,19633950,22108950,0,L016,0,,,,,,N,7,QUEENSBORO BRIDGE,40.759455,-73.961557,1,613,200.83,3,Y8,4,Lenox Hill-Roosevelt Island                                                ,1,0,1,0,,1311,,,LAND UNDER QUEENSBORO BR/PARK,13v1,19,,0,0.52,2,0,0,63049,2,,,0,1920,123109,64360,0,0,10022,C8-4,
419 EAST 66 STREET,EDUC,6.02,2457000,1045569,99,140,1461,1,2,1005,116,45516,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0995958/0217554,5,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,2457000,4126050,0,L016,0,,,,,,N,8,,40.763736,-73.95815,7,200.83,150,4,W1,4,Lenox Hill-Roosevelt Island                                                ,5,0,1,0,,45516,,,PS 183,13v1,19,,1,2.84,1,0,0,0,2,,,0,1915,16050,45516,0,0,10065,R8,
418 EAST 67 STREET,EDUC,6.02,2128950,1087154,100,50,1461,1,5,1005,116,5180,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0996008/0217643,5,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,0,0,0,L016,0,,,,,,N,8,,40.764345,-73.957706,37,0,0,1,W1,4,Lenox Hill-Roosevelt Island                                                ,1,0,1,0,,5180,,,MULTIPURPOSE EDUC BUILDING,13v1,19,,0,0.37,1,0,0,0,2,,,0,2005,13950,5180,0,0,10065,R8,
411 EAST 76 STREET,EDUC,4,2596950,1045949,102,143,1471,1,2,3000,132,68760,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997191/0219917,5,ACADEMIC HIGH SCHOOL,2013-12-11T00:00:00.000,,0,0,0,0,E044,0,,,,,,N,8,,40.770187,-73.953608,5,102.17,143,5,W3,4,Lenox Hill-Roosevelt Island                                                ,5,0,1,0,Yes,68760,,,,13v1,19,,3,4.71,2,0,0,0,2,,,0,1950,14610,68760,2002,0,10021,R8B,C1-9
1465 YORK AVENUE,NYPL,10,846000,1045991,94,39,1472,1,2,2001,132,10604,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997720/0220052,5,BRANCH LIBRARY,2013-12-11T00:00:00.000,,0,846000,1389600,0,E044,0,,,,,,N,8,,40.770485,-73.95111,28,94,38.67,5,P8,4,Lenox Hill-Roosevelt Island                                                ,4,0,1,0,,10604,C1-5,,WEBSTER LIBRARY,13v1,19,,2,2.92,1,0,0,0,2,,,0,1900,3635,10604,0,0,10075,R10,
YORK AVENUE,DOT,0,2646450,,0,0,1474,1,5,3006,106.02,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0995545/0215752,5,"ROAD/HIGHWAY, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,2646450,2646450,0,L016,0,,,,,,N,,,,,8,80,200.83,3,Z7,4,,0,0,2,0,,0,,,501 EAST 59 STREET,13v1,19,,0,0,0,0,0,0,2,,,0,0,16067,0,0,0,10022,M3-2,
F D R DRIVE,DSBS,0,33750,,0,0,1474,1,5,,106.02,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"OTHR SPC REC-OUTDOOR, FERRY TERMINAL, WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,33750,37800,0,L016,0,,,,,,Y,7,,,,9,41,41,5,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,1681,0,0,0,0,M3-2,
501 EAST 60 STREET,PARKS,0,3972600,1085631,20,20,1474,1,5,3007,106.02,400,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0995700/0215969,5,PARK,2013-12-11T00:00:00.000,,0,3972600,3986550,0,L016,0,,,,,,Y,9,,40.75926,-73.95916,21,200.83,134.92,1,Q2,4,Lenox Hill-Roosevelt Island                                                ,1,0,1,0,Yes,400,,,TWENTY FOUR SYCAMORES PARK,13v1,19,,0,0.02,0,0,0,0,2,,,0,0,22500,400,0,0,10065,PARK,
F D R DRIVE,PARKS,0,2106000,,0,0,1474,1,5,,106.02,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"PARK, FERRY TERMINAL",2013-12-11T00:00:00.000,,0,2106000,2310300,0,L016,0,,,,,,Y,7,,,,60,60,1002,5,T2,4,,0,0,0,0,,0,,,BULKHEAD-E 59TH ST TO E 63RD,13v1,19,,0,0,0,0,0,0,2,,,0,0,15330,0,0,0,0,M3-2,
F D R DRIVE,DSBS,7.52,639000,,0,0,1480,1,5,,116,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"OTHR SPC REC-OUTDOOR, FERRY TERMINAL, WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,639000,781650,0,L016,0,,,,,,N,7,,,,60,1,1830,2,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,1830,0,0,0,10065,R9,
F D R DRIVE,DSBS,7.52,141300,,0,0,1482,1,5,,124,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,141300,157050,0,L016,0,,,,,,Y,7,,,,60,1,261.75,5,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,261,0,0,0,10021,R9,
F D R DRIVE,DSBS,7.52,157500,,0,0,1483,1,5,,124,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,157500,175500,0,L016,0,,,,,,Y,7,,,,60,1,285.42,5,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,285,0,0,0,10021,R9,
F D R DRIVE,DSBS,10,153000,,0,0,1484,1,5,,124,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,153000,170550,0,E044,0,,,,,,Y,7,,,,60,20,285.42,2,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,5708,0,0,0,10021,R10,
525 EAST 73 STREET,SANIT,0,12730050,,205,314,1485,1,2,1001,124,168764,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997757/0218756,5,"COMBINED MAINT/STRG, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,12730050,26095050,0,E044,0,,,,,,Y,7,,40.766725,-73.951264,15,205,314.33,3,Y6,4,Lenox Hill-Roosevelt Island                                                ,5,0,1,168764,Yes,0,,,FORMER MANHATTAN 5/8 GARAGE,13v1,19,,2,2.48,2,0,0,0,2,,,0,1940,67965,168764,1955,0,10021,M3-2,
F D R DRIVE,DSBS,0,100800,,0,0,1485,1,5,,124,2580,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,0,0,0,E044,0,,,,,,Y,,,,,58,25.5,258,5,Z9,4,,0,0,0,0,,2580,,,CONSOLIDATED EDISON CO OF NY,13v1,19,,0,0.43,0,0,0,0,2,,,0,0,6058,2580,0,0,10021,M3-2,
F D R DRIVE,DSBS,0,147150,,0,0,1485,1,5,,124,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,147150,162900,0,E044,0,,,,,,Y,7,,,,60,20,265.33,2,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,5307,0,0,0,10021,M3-2,
F D R DRIVE,DSBS,0,147150,,0,0,1486,1,5,,132,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,NO USE-WFT (ANY AGY),2013-12-11T00:00:00.000,,0,147150,162900,0,E044,0,,,,,,Y,7,,,,60,20,265.33,2,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,5307,0,0,0,10021,M3-2,
76-01 F D R DRIVE,PARKS,0,23465700,1086484,30,88,1488,1,5,6000,132,10800,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998240/0219534,5,PARK,2013-12-11T00:00:00.000,,0,23465700,23888250,0,E044,0,,,,,,Y,9,,40.768398,-73.94931,17,337,470.08,3,Q1,4,Lenox Hill-Roosevelt Island                                                ,1,0,5,10800,,0,,,JOHN JAY PARK.& POOL,13v1,19,,1,0.08,3,0,0,0,2,,,0,1930,143000,10800,0,0,10075,PARK,
F D R DRIVE,DSBS,4,317700,,0,0,1488,1,5,,132,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,317700,352350,0,E044,0,,,,,,Y,7,,,,60,20,530.25,1,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,530,0,0,0,0,R8B,
1458 YORK AVENUE,EDUC,10,6345000,1046411,202,172,1489,1,0,2000,132,102068,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997892/0219890,5,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,6345000,8693550,0,E044,0,,,,,,N,8,,40.770419,-73.951135,1,173,204.33,3,W1,4,Lenox Hill-Roosevelt Island                                                ,5,0,1,102068,,0,,,PS 158,13v1,19,,1,2.89,1,0,0,0,2,,,0,1900,35350,102068,0,0,10075,R10,R8B
F D R DRIVE,DSBS,10,153000,,0,0,1490,1,5,,132,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,153000,170550,0,E022,0,,,,,,Y,7,,,,60,20,285.83,2,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,5717,0,0,0,10075,R10,
1075 MADISON AVENUE,EDUC,4,18990000,1046668,274,174,1493,1,2,2000,142,92500,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0995209/0222630,4,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,18990000,24902550,0,E022,0,,,,,,Y,8,,40.777727,-73.961088,21,300,204.33,3,W1,4,Upper East Side-Carnegie Hill                                              ,4,0,1,0,Yes,92500,,,PS 6,13v1,19,,1,1.8,1,0,0,0,2,MP,,0,1952,51300,92500,2009,0,10028,R8B,C5-1
159 EAST 85 STREET,FIRE,4,1467900,1047937,102,50.67,1514,1,2,2000,148.01,8355,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0996650/0222982,5,FIREHOUSE,2013-12-11T00:00:00.000,,0,1467900,1881900,0,L013,0,,,,,,Y,8,,40.778584,-73.955516,27,102.17,50.83,5,Y1,4,Upper East Side-Carnegie Hill                                              ,2,0,1,0,,8355,,,"ENG 22,LAD 13,BATT 10",13v1,19,,0,1.61,1,0,0,0,2,,,0,1960,5194,8355,0,0,10028,R8B,
1694 3 AVENUE,"EDUC, PARKS",9,11295000,1048492,162.75,189.75,1524,1,0,1000,158.01,113292,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997979/0225283,4,"ELEMENTARY SCHOOL, PLAYGROUND",2013-12-11T00:00:00.000,,0,11295000,17682300,0,L043,0,,,,,,N,8,,40.784623,-73.94976,23,420,201,3,W1,4,Upper East Side-Carnegie Hill                                              ,3,0,1,0,Yes,113292,C1-5,,PS 198 & JOP (JUDGE SEABURY),13v1,19,,1,1.84,1,0,0,0,2,,,0,1960,61432,113292,1987,0,10128,C1-8X,R8B
142 EAST 96 STREET,"EDUC, PARKS",10,3276450,,20,20,1524,1,5,1000,158.01,400,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997892/0225448,4,"PLAYGRND/SPORTS AREA, PLAYGROUND",2013-12-11T00:00:00.000,,0,3276450,3410550,0,L043,0,,,,,,N,9,,40.785974,-73.951207,46,100.71,170,3,Q2,4,Upper East Side-Carnegie Hill                                              ,1,0,1,0,,400,C1-5,,PS 198 PLGD (JOP) JUDG SEABURY,13v1,19,,0,0.02,0,0,0,0,2,,,0,1925,17120,400,1962,0,10128,R10A,
112 EAST 96 STREET,NYPL,10,1057500,1048501,75,50,1524,1,0,4000,158.01,11355,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997590/0225616,4,BRANCH LIBRARY,2013-12-11T00:00:00.000,,0,1057500,2051100,0,E053,0,,,,,,N,8,,40.786221,-73.951799,64,100.67,50,5,P8,4,Upper East Side-Carnegie Hill                                              ,3,0,1,0,,11355,,,96TH ST REGIONAL BRANCH LIBR,13v1,19,,2,2.26,1,0,0,0,2,,,0,1930,5035,11355,0,0,10128,R10A,
2 AVENUE,PARKS,0,5052150,,0,0,1536,1,5,7000,154,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998061/0223804,5,NO USE-VACANT LAND,2013-12-11T00:00:00.000,,0,5052150,5052150,0,L043,0,,,,,,N,9,,,,25,216,201,3,Q1,4,,0,0,0,0,,0,,,RUPPERT PARK,13v1,19,,0,0,0,0,0,0,2,,,0,0,43506,0,0,0,10128,PARK,
305 EAST 82 STREET,EDUC,4,2884500,1049876,102,150,1545,1,0,4000,138,85066,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997328/0221700,5,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,2884500,5353650,0,E022,0,,,,,,N,8,,40.775122,-73.953197,5,102.17,150,5,W1,4,Yorkville                                                                  ,5,0,1,0,,85066,,,PS 190,13v1,19,,1,5.55,1,0,0,0,2,TA,,0,1902,15325,85066,0,0,10028,R8B,
323 EAST 91 STREET,EDUC,4,1471500,1050217,88.67,100,1554,1,2,1000,154,43894,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998691/0223694,5,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,1471500,2838600,0,L043,0,,,,,,N,8,,40.780763,-73.94869,15,100.71,100,5,W2,4,Yorkville                                                                  ,6,0,1,0,,43894,,,TEMPORARY PRIMARY SCHOOL SITE,13v1,19,,2,4.36,1,0,0,0,2,,,0,1903,10070,43894,0,0,10128,R8B,
320 EAST 96 STREET,EDUC,10,4770000,1050338,200,150,1558,1,2,1000,156.01,83962,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0999223/0224653,4,VOCATION HIGH SCHOOL,2013-12-11T00:00:00.000,,0,4770000,7515000,0,L043,0,,,,,,N,8,,40.783625,-73.945637,34,201.42,150,4,W1,4,Yorkville                                                                  ,4,0,1,0,,83962,,,MANHATTAN VOC/TECH HS,13v1,19,,3,2.78,1,0,0,0,2,,,0,1920,30212,83962,1989,1999,10128,R10A,R8
427 EAST 87 STREET,SANIT,4,724950,1050581,100.67,50.5,1567,1,0,2000,144.02,5399,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998780/0222448,5,SECTION STATION,2013-12-11T00:00:00.000,,0,724950,945450,0,L013,0,,,,,,Y,7,,40.777244,-73.948119,13,100.67,50.5,5,Y6,4,Yorkville                                                                  ,2,0,1,5399,,0,,,MANHATTAN BORO OFFICE,13v1,19,,3,1.06,1,0,0,0,2,,,0,1960,5089,5399,1986,0,10128,R8B,
413 EAST 88 STREET,EDUC,4,2812500,1050618,95,180,1568,1,2,5000,144.02,56145,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998849/0222708,5,SPECIAL EDUC SCHOOL,2013-12-11T00:00:00.000,,0,2812500,5009850,0,L013,0,,,,,,N,8,,40.777966,-73.947884,8,100.67,180,5,W1,4,Yorkville                                                                  ,5,0,1,0,,56145,,,PS 66,13v1,19,,3,3.1,1,0,0,0,2,,,0,1920,18127,56145,1989,0,10128,R8B,
F D R DRIVE,DSBS,3.44,1291500,,0,0,1573,1,5,,152,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,4,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,1291500,1291500,0,L043,0,,,,,,Y,7,,,,52,20,314,9,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,211050,0,0,0,10128,R7-2,
1840 1 AVENUE,PARKS,0,3272850,1000000,20,20,1573,1,5,1000,152,400,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0999580/0224457,4,PARK,2013-12-11T00:00:00.000,,0,3272850,3286800,0,L043,0,,,,,,Y,9,,40.782721,-73.945092,101,155,201.42,3,Q1,4,Yorkville                                                                  ,1,0,1,0,,400,,,STANLEY M ISAACS PARK,13v1,19,,0,0.01,0,0,0,0,2,,,0,1960,27350,400,0,0,10128,PARK,
1712 YORK AVENUE,PARKS,0,36616050,,80,35,1587,1,5,6005,152,94247,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0999748/0223020,5,SPEC RECREATN-INDOOR,2013-12-11T00:00:00.000,,0,36616050,49599450,0,L043,0,,,,,,Y,9,MUNICIPAL ASPHALT PLANT,40.778291,-73.945385,1,463,653.08,3,Q0,4,Yorkville                                                                  ,4,0,2,0,,94247,,,ASPHALT GREEN,13v1,19,,0,0.25,2,0,0,0,2,,,0,1942,375950,94247,2001,0,10128,PARK,
150 EAST 123 STREET,PARKS,0,215100,1000000,0,0,1771,1,5,3006,196,0,111,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,1001371/0231741,8,PARK,2013-12-11T00:00:00.000,,0,0,0,0,L014,0,,,,,,N,9,,40.802897,-73.937978,50,100.92,24,5,Q2,4,East Harlem North                                                          ,0,0,0,0,,0,,,MCNAIR PARK,13v1,25,,0,0,0,0,0,0,4,,,0,0,2422,0,0,0,10035,PARK,
F D R DRIVE,SANIT,0,1080672,,0,0,1587,1,5,6005,152,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,1000078/0223142,5,SOLID WASTE TSFR STN,2013-12-11T00:00:00.000,,0,1080672,1080672,0,L043,0,,,,,,Y,11,,,,27,20,1095.58,5,V1,4,,0,0,0,0,,0,,,91 ST MARINE TRANSFER STATION,13v1,19,,0,0,0,0,0,0,2,,,0,0,134800,0,0,0,10128,M1-4,
EAST 83 STREET,DSBS,10,362700,,10,35,1590,1,5,,136,350,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,362700,380250,0,E022,0,,,,,,Y,,,,,24,97.08,35.83,2,Z9,4,,1,0,1,0,,350,,,BREARLY SCHOOL LTD,13v1,19,,0,0.09,0,0,0,0,2,,,0,1925,3800,350,0,0,10028,R10A,
EAST 84 STREET,DCAS,10,136350,,0,0,1590,1,5,,136,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,NO USE-VACANT LAND,2013-12-11T00:00:00.000,,0,136350,136350,0,E022,0,,,,,,Y,7,,,,55,206,3,2,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,504,0,0,0,10028,R10A,
F D R DRIVE,DSBS,10,152100,,0,0,1590,1,5,,136,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,152100,152100,0,E022,0,,,,,,Y,7,,,,60,1,142.67,5,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,0,0,0,0,10028,R10A,
EAST 84 STREET,DSBS,10,349200,,0,0,1590,1,5,,136,0,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,5,"NO USE-WFT (ANY AGY), FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,349200,349200,0,E022,0,,,,,,Y,7,,,,61,1,333.92,5,T2,4,,0,0,0,0,,0,,,,13v1,19,,0,0,0,0,0,0,2,,,0,0,0,0,0,0,10028,R10A,
97 EAST END AVENUE,PARKS,0,47733750,1076334,75,50,1592,1,5,5004,136,7500,108,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0999844/0221580,5,PARK,2013-12-11T00:00:00.000,,0,47733750,49128750,0,E022,0,,,,,,Y,9,GRACIE MANSION,40.773532,-73.945782,1,387.42,999.67,3,Q1,4,Yorkville                                                                  ,2,0,2,0,,7500,,,CARL SCHURZ PARK,13v1,19,,0,0.01,1,0,0,0,2,,,0,1801,634000,7500,1965,0,10028,PARK,
7 WEST 111 STREET,EDUC,3.44,2920500,1051410,192,377,1595,1,2,2000,186,144225,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998053/0230181,9,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,2920500,10756800,0,E058,0,,,,,,Y,8,,40.797745,-73.949385,15,201.83,585,4,W1,4,Central Harlem South                                                       ,4,0,1,144225,,0,,,PS 185/TANDEM PS 208,13v1,28,,1,1.25,3,0,0,0,3,,,0,1967,115548,144225,1989,0,10026,R7-2,
62 LENOX AVENUE,PARKS,0,0,1085249,0,0,1596,1,5,3000,186,0,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0997985/0230818,9,PLAYGROUND,2013-12-11T00:00:00.000,,0,0,0,0,E058,0,,,,,,N,9,,40.800112,-73.951066,75,150,290.38,5,Q2,4,Central Harlem South                                                       ,0,0,1,0,,0,,,MARTIN LUTHER KING HSES PLGD.,13v1,28,,0,0,0,0,0,0,3,,,0,0,43557,0,0,0,10026,PARK,
73 WEST 115 STREET,HPD,5,208800,1089517,0,0,1599,1,5,1003,190,0,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998345/0231158,9,"IN USE-TENANTED, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E058,0,,,,,,N,,,40.801113,-73.949653,9,100.92,100,5,Z9,4,Central Harlem South                                                       ,0,0,0,0,,0,,,,13v1,28,,0,0,0,0,0,0,3,,,0,0,10092,0,0,0,10026,C4-5X,
52 WEST 116 STREET,HPD,5,85050,1089518,0,0,1599,1,5,1003,190,0,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998434/0231229,9,"IN USE-TENANTED, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E058,0,,,,,,N,,,40.80156,-73.948602,61,100.92,37.5,5,Z9,4,Central Harlem South                                                       ,0,0,0,0,,0,,,,13v1,28,,0,0,0,0,0,0,3,,,0,0,3784,0,0,0,10026,C4-5X,
54 WEST 116 STREET,HPD,5,85050,1089519,0,0,1599,1,5,1003,190,0,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998401/0231247,9,"IN USE-TENANTED, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E058,0,,,,,,N,,,40.801579,-73.948645,62,100.92,37.5,5,Z9,4,Central Harlem South                                                       ,0,0,0,0,,0,,,,13v1,28,,0,0,0,0,0,0,3,,,0,0,3784,0,0,0,10026,C4-5X,
58 WEST 116 STREET,HPD,5,85050,1089520,0,0,1599,1,5,1003,190,0,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998369/0231265,9,"IN USE-TENANTED, SHORT-TERM AGREEMENT, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E058,0,,,,,,N,,,40.801615,-73.948732,64,100.92,37.5,5,Z9,4,Central Harlem South                                                       ,0,0,0,0,,0,,,,13v1,28,,0,0,0,0,0,0,3,,,0,0,3784,0,0,0,10026,C4-5X,
68 WEST 116 STREET,HPD,5,1002423,1000000,0,0,1599,1,5,1003,190,0,110,0,greenthumbinfo@parks.nyc.gov (212) 788-8070,0998252/0231330,9,"NO USE-VACANT LAND, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E058,0,,,,,,N,11,,40.801706,-73.948949,69,100.92,30,5,V1,4,Central Harlem South                                                       ,0,0,0,0,,0,,,,13v1,28,Pending,0,0,0,0,0,0,3,,,0,0,3028,0,0,0,10026,C4-5X,
72 WEST 116 STREET,HPD,5,38700,1051424,100,45,1599,1,2,1003,190,3800,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998219/0231348,9,"NO USE-RES STRUCTURE, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,E058,0,,,,,,N,4,,40.801741,-73.949035,70,100.92,45,3,D7,4,Central Harlem South                                                       ,6,0,1,0,,0,,,,13v1,28,,2,5.33,19,20424,15,3800,3,,,0,1920,4541,24224,1996,0,10026,C4-5X,
144 LENOX AVENUE,EDUC,3.44,1615500,1051434,377,72,1601,1,2,1001,190,107025,110,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0998622/0231707,9,ELEMENTARY SCHOOL,2013-12-11T00:00:00.000,,0,1615500,8496000,0,E058,0,,,,,,N,8,,40.80279,-73.949107,1,410,201.83,3,W1,4,Central Harlem South                                                       ,3,0,1,0,,107025,C1-4,,PS 149/207,13v1,28,,1,1.29,2,0,0,0,3,,,0,1968,82750,107025,0,0,10026,R7-2,
,HPD,0,0,,0,0,6,4,,,,0,402,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,0,"IN USE-TENANTED, FINAL COMMITMNT-DISP",2013-12-11T00:00:00.000,,0,0,0,0,,0,,,,,,,,,,,200,0,0,,,5,,0,0,0,0,,0,,,HUNTERS POINT SOUTH,13v1,0,,,0,0,0,0,0,,,,0,0,0,0,0,0,0,,
